ASIN,Product Name,Product Price,Promo Price,Price Match,Product URL,Seller Type,Condition Type
B0BZFVFTWC,GIGABYTE GP-UD1300GM PG5 - PCIe5.0 Ready - ATX3.0 - 1300W 80 Plus Gold Certified - Fully Modular Power Supply,209.99,219.99,Mismatch,https://www.amazon.com/dp/B0BZFVFTWC,Amazon,New
B0BTJYYTGM,GIGABYTE GP-UD1000GM PG5 Rev2.0 - PCIe5.0 Ready - ATX3.0 - 1000W 80 Plus Gold Certified - Fully Modular Power Supply,139.99,139.99,Match,https://www.amazon.com/dp/B0BTJYYTGM,Amazon,New
B0CKM1JX4S,GIGABYTE GP-UD850GM PG5W - PCIe5.0 Ready - ATX3.0-850W 80 Plus Gold Certified - Fully Modular Power Supply - Japanese Capacitors,109.99,134.99,Mismatch,https://www.amazon.com/dp/B0CKM1JX4S,3rd Party,New
B0DVBLSV7F,GIGABYTE 850W PSU - 80 Plus Gold Certified - Fully Modular Power Supply (GP-UD850GM-A),,104.99,Price not available,https://www.amazon.com/dp/B0DVBLSV7F,3rd Party,Used
B09RK7GFQL,GIGABYTE GP-UD850GM 850W 80 Plus Gold Certified Fully Modular Power Supply,104.99,104.99,Match,https://www.amazon.com/dp/B09RK7GFQL,Amazon,New
B0DPNHR9H3,GIGABYTE 750W PSU - 80 Plus Gold Certified - Fully Modular Power Supply (GP-UD750GM-A),79.99,79.99,Match,https://www.amazon.com/dp/B0DPNHR9H3,Amazon,New
B0CSTCZMQ5,GIGABYTE P650G 650W 80 Plus Gold Certified Power Supply (GP-P650G),,59.99,Price not available,https://www.amazon.com/dp/B0CSTCZMQ5,3rd Party,Used
